кат;назва;наявність;код;опт;роздріб
Эхолоты;            CZ Fanatic Fish finder (Безпроводной эхолот,ехолокатор,сетевая и аккумуляторная зарядка,дальность 180м, глубина 100 м, 8 м);1,000;CZ3330;125,93 EUR;5289,06
Эхолоты;            CZ Underwater camera (Подводная камера - 20 м кабеля,3,5-дюймовый цветной ЖК-дисплей);;CZ3323;158,93 EUR;6675,06
