кат;назва;наявність;код;опт;роздріб
Матчевые удилища;            CZ Allround Float 360cm, 7-35g, 3 sections (матчевое удилище,бланк-карбон,SIC кольца);3,000;CZ0412;22,59 EUR;948,78
Матчевые удилища;            CZ Allround Float 390cm, 7-35g, 3 sections (матчевое удилище,бланк-карбон,SIC кольца);3,000;CZ0429;24,02 EUR;1008,84
Матчевые удилища;            CZ Force Telematch 395cm, 10-80g, 5 sections (телескопическое удилище,бланк-карбон,SIC кольца);4,000;CZ0450;17,75 EUR;745,5
Матчевые удилища;            CZ Force Telematch 420cm, 10-80g, 6 sections (телескопическое удилище,бланк-карбон,SIC кольца);5,000;CZ0467;19,74 EUR;829,08
