кат;назва;наявність;код;опт;роздріб
Офсетный крючок;            Predator-Z Drop Shot Hook №1, 5шт/уп (офсетные крючки);2,000;CZ0092;0,74 EUR;31,08
Офсетный крючок;            Predator-Z Drop Shot Hook №1/0, 5pcs (5 штук в упаковке(офсетные));6,000;CZ5401;0,83 EUR;34,86
Офсетный крючок;            Predator-Z Drop Shot Hook №2, 5шт/уп (офсетные крючки);;CZ0108;0,74 EUR;31,08
Офсетный крючок;            Predator-Z Drop Shot Hook №2/0, 5pcs (5 штук в упаковке(офсетные));15,000;CZ5395;0,90 EUR;37,8
Офсетный крючок;            Predator-Z Drop Shot Hook №3/0, 5pcs (5 штук в упаковке(офсетные));10,000;CZ5388;1,02 EUR;42,84
Офсетный крючок;            Predator-Z Drop Shot Hook №4, 5шт/уп (офсетные крючки);;CZ0115;0,74 EUR;31,08
Офсетный крючок;            Predator-Z Drop Shot Hook №4/0, 5pcs (5 штук в упаковке(офсетные));14,000;CZ5371;1,13 EUR;47,46
Офсетный крючок;            Predator-Z Drop Shot Hook №5/0, (5 штук в упаковке(офсетные));16,000;CZ5364;1,19 EUR;49,98
