кат;назва;наявність;код;опт;роздріб
Шок лидеры;            Extreme Leader line (brown), 0,49mm, 21,20kg, 50m (Моно-лидер - коричневый);7,000;CZ2205;1,94 EUR;81,48
Шок лидеры;            Extreme Leader line (brown), 0,54mm, 24,10kg, 50m (Моно-лидер - коричневый);8,000;CZ2212;1,94 EUR;81,48
Шок лидеры;            Extreme Leader line (brown), 0,59mm, 28,20kg, 50m (Моно-лидер - коричневый);11,000;CZ2229;1,94 EUR;81,48
