кат;назва;наявн≥сть;код;опт;роздр≥б
Куртки;            CZ Thermo Fleece Jacket, L   (Флисовая термо-куртка);6,000;CZ3216;35,49 EUR;1490,58
Куртки;            CZ Thermo Fleece Jacket, M  (Флисовая термо-куртка);8,000;CZ3209;35,49 EUR;1490,58
Куртки;            CZ Thermo Fleece Jacket, XXXL (Флисовая термо-куртка);;CZ3247;35,49 EUR;1490,58
