кат;назва;наявність;код;опт;роздріб
Термобелье;            Thermo Fleece Underwear, L;1,000;CZ8144;14,85 EUR;623,7
Термобелье;            Thermo Fleece Underwear, XXL;2,000;CZ8151;14,85 EUR;623,7
Термобелье;            Термобелье L;8,000;L;25,00 EUR;1050
Термобелье;            Термобелье M;11,000;M;25,00 EUR;1050
Термобелье;            Термобелье XL;4,000;XL;25,00 EUR;1050
