кат;назва;наявність;код;опт;роздріб
Ножи;            CZ Fillet Knife with Sheath  (Нож для филе,нержавеющая сталь,длина лезвия 16 см);;CZ3636;2,78 EUR;116,76
Ножи;            CZ Fisherman's Filleting Kit ( Набор для „филейщика"")";;CZ3667;12,72 EUR;534,24
Ножи;            CZ Fishing Knife with Sheath (Рыбацкий нож,длина лезвия 9,5см,нержавеющая сталь);;CZ3674;2,78 EUR;116,76
Ножи;            CZ Floating Knife with Sheath  (Плавающий нож,нержавеющая сталь);2,000;CZ3629;2,93 EUR;123,06
Ножи;            Dragon Knife;;CZ8328;2,78 EUR;116,76
Ножи;            MFA-1 Pliers;1,000;CZ8335;17,24 EUR;724,08
Ножи;            Scraper-Knife;7,000;CZ8571;2,99 EUR;125,58
