кат;назва;наявн≥сть;код;опт;роздр≥б
Плоскогубцы, щипцы;            CZ Fishing Pliers (Многофункциональные щипцы,нескользящая рукоятка,в чехле);;CZ3711;4,49 EUR;188,58
Плоскогубцы, щипцы;            CZ Fishing Pliers Crocodile (Рыбацкие щипцы,нержавеющая сталь,чЄрный чехол);25,000;CZ3728;4,88 EUR;204,96
Плоскогубцы, щипцы;            CZ Multi-Pliers (дополняется наличием отвЄртки, напильника, пилы, консервного ножа,открывалки и ножа,в чехле,длина: 16,5 см);;CZ3704;6,72 EUR;282,24
Плоскогубцы, щипцы;            CZ Pliers & Knife Set (Щипцы + нож, нержавеющая сталь,длина 17,8 см,мягкие рифлЄные ручки);3,000;CZ3650;10,43 EUR;438,06
Плоскогубцы, щипцы;            CZ Pocket Pliers  ( Многофункциональные щипцы,включают 6 различных вспомогательных приспособлений,нержавеющая сталь,чехол);;CZ3698;4,49 EUR;188,58
Плоскогубцы, щипцы;            CZ Scissors for braided line (Щипцы для шнура);;CZ2111;5,24 EUR;220,08
Плоскогубцы, щипцы;            Lead plier  (ѕлоскогубцы для свинца);;CZ1212;0,74 EUR;31,08
