Категория;назва;наявність;код;опт;роздріб
Бойлы pop-up;            CZ Soluble Boilies, 24mm, 100g, spicy frankfurter-belachan (франкфуртская колбаса);;CZ0872;1,20 EUR;53,76
Бойлы pop-up;            CZ Soluble Boilies, 24mm, 100g, strawberry (клубника);29,000;CZ0803;1,20 EUR;53,76
Бойлы pop-up;            CZ Soluble Boilies, 24mm, 100g, sweet corn-pineapple  (сладкая кукуруза-ананас);;CZ0834;1,20 EUR;53,76
Бойлы pop-up;            CZ Soluble Boilies, 20mm, 800g, fish-monster crab (рыба-гигантский краб);3,000;CZ0636;2,19 EUR;98,112
Бойлы pop-up;            CZ Soluble Boilies, 20mm, 800g, mango (манго);28,000;CZ0629;2,19 EUR;98,112
Бойлы pop-up;            CZ Soluble Boilies, 20mm, 800g, plum (слива);;CZ0612;2,19 EUR;98,112
Бойлы pop-up;            CZ Soluble Boilies, 20mm, 800g, strawberry (клубника);;CZ0605;2,19 EUR;98,112
Бойлы pop-up;            CZ Soluble Boilies, 24mm, 800g, fish-monster crab (рыба-гигантский краб);5,000;CZ0698;2,19 EUR;98,112
Бойлы pop-up;            CZ Soluble Boilies, 24mm, 800g, mango (манго);16,000;CZ0681;2,19 EUR;98,112
Бойлы pop-up;            CZ Soluble Boilies, 24mm, 800g, meat-GLM (мясо-зелено губая ракушка);;CZ0704;2,19 EUR;98,112
Бойлы pop-up;            CZ Soluble Boilies, 24mm, 800g, plum (слива);10,000;CZ0674;2,19 EUR;98,112
Бойлы pop-up;            CZ Soluble Boilies, 24mm, 800g, spicy frankfurter-belachan (франкфуртская колбаса);;CZ0711;2,19 EUR;98,112
Бойлы pop-up;            CZ Soluble Boilies, 24mm, 800g, strawberry (клубника);;CZ0667;2,19 EUR;98,112
Бойлы pop-up;            CZ MAXXX Boilies, 800g, 16mm, black pepper-liver (черный перец-ливер);19,000;CZ2034;4,24 EUR;189,952
Бойлы pop-up;            CZ MAXXX Boilies, 800g, 16mm, pineapple-scopex (ананас - скопекс);20,000;CZ2027;4,24 EUR;189,952
Бойлы pop-up;            CZ MAXXX Boilies, 800g, 16mm, spicy sausage-chilli-robin red (колбаса-специи);19,000;CZ2058;4,24 EUR;189,952
Бойлы pop-up;            CZ MAXXX Boilies, 800g, 16mm, spicy squid-krill (кальмар - криль);29,000;CZ2041;4,24 EUR;189,952
Бойлы pop-up;            CZ MAXXX Boilies, 800g, 16mm, strawberry-fish (клубника - рыба);20,000;CZ2010;4,24 EUR;189,952
Бойлы pop-up;            CZ MAXXX Boilies, 800g, 20mm, black pepper-liver (черный перец-ливер);9,000;CZ2089;4,24 EUR;189,952
Бойлы pop-up;            CZ MAXXX Boilies, 800g, 20mm, pineapple-scopex (ананас - скопекс);9,000;CZ2072;4,24 EUR;189,952
Бойлы pop-up;            CZ MAXXX Boilies, 800g, 20mm, spicy sausage-chilli-robin red (колбаса-специи);9,000;CZ2102;4,24 EUR;189,952
Бойлы pop-up;            CZ MAXXX Boilies, 800g, 20mm, spicy squid-krill (кальмар - криль);19,000;CZ2096;4,24 EUR;189,952
Бойлы pop-up;            CZ MAXXX Boilies, 800g, 20mm, strawberry-fish (клубника - рыба);9,000;CZ2065;4,24 EUR;189,952
Бойлы pop-up;            CZ Boilie Paste, 600g, black pepper-liver (черный перец-ливер);12,000;CZ2140;2,40 EUR;107,52
Бойлы pop-up;            CZ Boilie Paste, 600g, pineapple-scopex (ананас - скопекс);;CZ2133;2,40 EUR;107,52
Бойлы pop-up;            CZ Boilie Paste, 600g, spicy sausage-chilli-robin red (колбаса-специи);12,000;CZ2164;2,40 EUR;107,52
Бойлы pop-up;            CZ Boilie Paste, 600g, spicy squid-krill (кальмар - криль);13,000;CZ2157;2,40 EUR;107,52
Бойлы pop-up;            CZ Boilie Paste, 600g, strawberry-fish (клубника - рыба);13,000;CZ2126;2,40 EUR;107,52
Бойлы pop-up;            CZ Weekend Boilies, 16&20mm, fruit mix, 10kg (фруктовая смесь);;CZ7092;28,40 EUR;1272,32
