;            Multifish Carp 5000BBC (катушка с бейтраннером,1BB);5,000;CZ2755;9,20 EUR;13,8;Carp Zoom;Карповые катушки
;            SPECIFIC 4000 BBC  (Катушка с задним тормозом, с металлической запасной шпулей);2,000;CZ2074;28,37 EUR;42,555;Carp Zoom;Карповые катушки
;            SPECIFIC 5000 BBC (Катушка с задним тормозом, с металлической запасной шпулей);1,000;CZ2081;29,15 EUR;43,725;Carp Zoom;Карповые катушки
;            SPECIFIC 6000 BBC (Катушка с задним тормозом, с металлической запасной шпулей);2,000;CZ5181;29,87 EUR;44,805;Carp Zoom;Карповые катушки
;        08. Rear Drag Reels (катушки) (Catalogue p. 74);;;;0;Carp Zoom;
;            BULLDOG 40R (Классическая катушка с задним тормозом,6+1BB,Металлический барабан,усиленный ролик, складная ручка);20,000;CZ8037;15,62 EUR;23,43;Carp Zoom;Фидерные катушки 
;            BULLDOG 60R (Классическая катушка с задним тормозом,6+1BB,Металлический барабан, усиленный ролик, складная ручка);44,000;CZ8051;17,04 EUR;25,56;Carp Zoom;Фидерные катушки 
;            Carpex 40R fishing reel;6,000;CZ8006;9,92 EUR;14,88;Carp Zoom;Фидерные катушки 
;            Carpex 50R fishing reel;7,000;CZ8013;10,62 EUR;15,93;Carp Zoom;Фидерные катушки 
;            CZ Black Ghost 4000RD fishing reel (универсальная катушка,с запасной графитовой шпулей,5+1BB);2,000;CZ0351;17,04 EUR;25,56;Carp Zoom;Фидерные катушки 
;            CZ Black Ghost 5000RD fishing reel (универсальная катушка,с запасной графитовой шпулей,5+1BB);4,000;CZ0368;17,75 EUR;26,625;Carp Zoom;Фидерные катушки 
;            CZ Black Ghost 6000RD fishing reel (универсальная катушка,с запасной графитовой шпулей,5+1BB);3,000;CZ0375;18,47 EUR;27,705;Carp Zoom;Фидерные катушки 
;            CZ KID 200F Reel (Детская катушка);12,000;CZ7680;2,79 EUR;4,185;Carp Zoom;Фидерные катушки 
;            Feeder Competition FeederCast 6000F reel;12,000;CZ9226;26,73 EUR;40,095;Carp Zoom;Фидерные катушки 
;            Feeder Reel 30F;;CZ2180;18,47 EUR;27,705;Carp Zoom;Фидерные катушки 
;            Feeder Reel 50F;;CZ2197;19,61 EUR;29,415;Carp Zoom;Фидерные катушки 
;            JUNIOR 20R (Легкая катушка, 2 подшипника, «задний» тормоз);11,000;CZ7993;5,36 EUR;8,04;Carp Zoom;Спиннинговые катушки
;    3. ACCESSORIES;;;;0;Carp Zoom;
;        01. Fishfinders, Camera (эхолот,подводная камера) (Catalogue p. 80);;;;0;Carp Zoom;
;            CZ Fanatic Fish finder (Безпроводной эхолот,ехолокатор,сетевая и аккумуляторная зарядка,дальность 180м, глубина 100 м, 8 м длина кабеля);1,000;CZ3330;125,93 EUR;188,895;Carp Zoom;Эхолоты
;            CZ Underwater camera (Подводная камера - 20 м кабеля,3,5-дюймовый цветной ЖК-дисплей);;CZ3323;158,93 EUR;238,395;Carp Zoom;Эхолоты
;        02. Bivvies, Shelter, Boat Tent (палатки) (Catalogue p. 81-84);;;;0;Carp Zoom;
;"            ""FANATIC"" Shelter - (Рыболовная полупалатка ,размер: 270x230x140 см, 5000мм(водная шкала),вес палатки 8 кг,удобная и легкая установка,съёмное износостойкое дно и колышки)";;CZ7979;85,35 EUR;128,025;Carp Zoom;Палатки, спальники, навесы 
;            CADDAS Boat Tent - (Лодочная палатка с регулированой шириной  120-130 см., длиной 150-300см) 5000мм(водная шкала),,вес палатки 4 кг);18,000;CZ6910;44,85 EUR;67,275;Carp Zoom;Палатки, спальники, навесы 
;            CZ Carp Expedition Bivvy 1, 280x215x135cm;;CZ0702;122,93 EUR;184,395;Carp Zoom;Палатки, спальники, навесы 
;            CZ Carp Expedition Bivvy 2 Overwrap;1,000;CZ0696;64,13 EUR;96,195;Carp Zoom;Палатки, спальники, навесы 
;            CZ Carp Expedition Bivvy 2, 300x270x140cm;;CZ0665;209,93 EUR;314,895;Carp Zoom;Палатки, спальники, навесы 
;            CZ Carp Expedition Bivvy 3+1 Overwrap;1,000;CZ0689;82,35 EUR;123,525;Carp Zoom;Палатки, спальники, навесы 
;            CZ Carp Expedition Bivvy 3+1, 390x330x165cm;;CZ0672;269,93 EUR;404,895;Carp Zoom;Палатки, спальники, навесы 
;            Peg Set - (Набор Колышков для крепления палатки, 10шт );;CZ7672;7,28 EUR;10,92;Carp Zoom;Палатки, спальники, навесы 
;        03. Umbrellas (зонты) (Catalogue p. 85);;;;0;Carp Zoom;
;            CZ Camou Umbrella, 250cm (Рыболовный зонт камуфляжного цвета со сгибающимся куполом,диаметр-250см, вес 2 кг);;CZ4788;23,93 EUR;35,895;Carp Zoom;Зонты
;            CZ CZ Umbrella Shelter, camou, 250cm  (Рыболовный палаточный рыбацкий зонт камуфляжного цвета-250см, вес 3 кг);;CZ5975;35,93 EUR;53,895;Carp Zoom;Зонты
;"            CZ Umbrella ""Steel Frame"" tilt system, 220cm  (Рыболовный зонт с регулированным наклоном купола, диаметр-220см, вес 2,3 кг)";12,000;CZ7641;17,48 EUR;26,22;Carp Zoom;Зонты
;            CZ Umbrella Holder 1, 30cm;21,000;CZ1628 ;2,03 EUR;3,045;Carp Zoom;Зонты
;            CZ Umbrella Holder 2, 40cm;3,000;CZ1635 ;3,68 EUR;5,52;Carp Zoom;Зонты
;            CZ Umbrella Shelter, 250cm (Рыболовный зонт-палатка, диаметр-250см, вес 3,2 кг);;CZ7634;32,93 EUR;49,395;Carp Zoom;Зонты
;        04. Bivvy Accessories (аксессуары) (Catalogue p. 86);;;;0;Carp Zoom;
