;            CZ Elite Carp Landing Net 41.8m long 1pc strong carbon composite handle; 80cm arms; reinforced nylon block, arm ends and bottom cap; super soft and strong black mesh ( 80x80x80 см,КАРБОНОВАЯ РУЧКА, ИЗ ОДНОЙ ЧАСТИ 180 см, ЧЕРНАЯ КРЕПКАЯ СЕТКА)";;CZ1534;29,85 EUR;44,775;Carp Zoom;Подсаки
;            CZ Spare Net (107x107x90cm) (Запасная сетка на подсак);;CZ1819;4,43 EUR;6,645;Carp Zoom;Подсаки
;        18. Rod Pods (род поды) (Catalogue p. 109-111);;;;0;Carp Zoom;
;            Alu Rod Pod (Длина регулируется в пределах 77-121 см, вес 2,25 кг);;CZ0544;44,85 EUR;67,275;Carp Zoom;Род - поды
;            Camou 3 rod pod;;CZ8311;73,20 EUR;109,8;Carp Zoom;Род - поды
;            Camou 4 rod pod;;CZ8304;74,85 EUR;112,275;Carp Zoom;Род - поды
;            CZ Anti-theft Alarm (Противоугонная сигнализация с датчиком движения для род-подов);4,000;CZ1680;8,93 EUR;13,395;Carp Zoom;Род - поды
;            CZ Feeder Competition Side Rod Rest (Подставка для удилищ);3,000;CZ1345;25,43 EUR;38,145;Carp Zoom;Род - поды
;            CZ Tripod  (Длина регулируется в пределах  55-159 см.);2,000;CZ0568;12,68 EUR;19,02;Carp Zoom;Род - поды
;            Easy Rod Pod;;CZ7840;12,68 EUR;19,02;Carp Zoom;Род - поды
;            Elite Rod Pod  (Для 4-х удилищ, длина регулируется в пределах 87-144 см, вес 3,25 кг. );2,000;CZ0551;74,93 EUR;112,395;Carp Zoom;Род - поды
;            Fanatic 3 Rod Pod ( Длина регулируется в пределах 75-122 см, вес 3,5 кг.);;CZ0537;62,93 EUR;94,395;Carp Zoom;Род - поды
;            Fanatic 4 Rod Pod (Для 4-х удилищ, длина регулируется в пределах 75-122 см, вес 3,5 кг.);;CZ3132;65,93 EUR;98,895;Carp Zoom;Род - поды
;            KATIUSHA rod pod;;CZ8298;88,43 EUR;132,645;Carp Zoom;Род - поды
;            Standard Rod Pod (Длина регулируется в пределах 76-129 см, вес 1,8 кг);2,000;CZ0520;37,43 EUR;56,145;Carp Zoom;Род - поды
;            Pole Rig 1, float: 1,5gr; line: 8m 0,16mm; hook: 14 (Готовая поплавочная снасть)";5,000;CZ2188;0,98 EUR;1,47;Carp Zoom;Поплавочные оснастки
;            Pole Rig 2, float: 1,5gr; line: 8m 0,16mm; hook: 14 (Готовая поплавочная снасть)";15,000;CZ2195;0,98 EUR;1,47;Carp Zoom;Поплавочные оснастки
;            Pole Rig 3, float: 2,0gr; line: 8m 0,16mm; hook: 14 (Готовая поплавочная снасть)";25,000;CZ2201;0,98 EUR;1,47;Carp Zoom;Поплавочные оснастки
;            Pole rig Chop, 1,5g   (Поплавочная снасть);;CZ2844;0,74 EUR;1,11;Carp Zoom;
