Воблеры;13552;Воблер Jackall TRICOROLL 55SP SILVER YAMAME 55mm 3.5g;;;;1;4560212111261;6.48;;265
Воблеры;13565;Воблер Jackall Seiraminnow 55S 2.0гр oikawa*;;;;1;4525807051865;8.51;;313
Воблеры;13553;Воблер Jackall TRICOROLL 55HW Pink YAMAME 55mm 3.5g;;;;1;4560212120980;6.48;;265
Воблеры;13554;Воблер Jackall TRICOROLL 55S White & Black YAMAME 55mm 3.5g;;;;1;4560212111339;6.48;;265
Воблеры;13566;Воблер Jackall Seiraminnow 55S 2.0гр chart back pearl*;;;;1;4525807051834;8.51;;313
Воблеры;13567;Воблер Jackall Seiraminnow 55S 2.0гр cotton shad*;;;;1;4525807051902;8.51;;313
Воблеры;13568;Воблер Jackall Squadshad 65SP 7.2гр spawn tiger;;;;2;4525807039894;10.1;;372
Воблеры;13569;Воблер Jackall Squadshad 65SP 7.2гр noike gill;;;;2;4525807039900;10.1;;372
Воблеры;13570;Воблер Jackall Squadshad 65SP 7.2гр brown suji shrimp;;;;4;4525807039924;10.1;;372
Воблеры;13571;Воблер Jackall Squadshad 65SP 7.2гр ghost G perch;;;;2;4525807067378;10.1;;372
Воблеры;13572;Воблер Jackall Squadshad 65SP 7.2гр koayu;;;;4;4525807039863;10.1;;372
Воблеры;13573;Воблер Jackall Squadshad 65SP 7.2гр oikawa;;;;2;4525807039856;10.1;;372
Воблеры;13574;Воблер Jackall Squadshad 65SP 7.2гр hl bronze blue pike;;;;2;4525807067361;10.1;;372
Воблеры;13575;Воблер Jackall Squadshad 65SP 7.2гр hl silver & black;;;;3;4525807044607;10.1;;372
Воблеры;13576;Воблер Jackall Squadshad 65SP 7.2гр hl gold & black;;;;2;4525807039917;10.1;;372
Воблеры;13577;Воблер Jackall Squadshad 65SP 7.2гр ghost ayu;;;;2;4525807039849;10.1;;372
Воблеры;13578;Воблер Jackall MIDIA 53F LASER AYU 55mm 2.8g;;;;2;4560212113487;6.48;;265
Воблеры;13580;Воблер FLAGMAN WASP 40F C18 3.5g 1.5-2.2m F;;;;1;2000016403015;2.46;;91
Воблеры;13581;Воблер FLAGMAN WASP 40F A35 3.5g 1.5-2.2m F;;;;4;2000016401011;2.46;;91
Воблеры;13582;Воблер FLAGMAN HOUSE CRANCK 45F A82 5gr 0-0.8 m;;;;2;2000018384015;2.58;;95
Воблеры;13583;Воблер FLAGMAN HOUSE CRANCK 45F C20 5gr 0-0.8 m;;;;3;2000018382011;2.58;;95
Воблеры;13584;Воблер FLAGMAN HOUSE CRANCK 45F A07 4.1gr 0-0.5 m;;;;1;2000016334012;2.58;;95
Воблеры;13585;Воблер FLAGMAN HOUSE CRANCK 45F M46 5gr 0-0.8 m;;;;1;2000018385012;2.58;;95
Воблеры;13586;Воблер FLAGMAN HOUSE CRANCK 45F F18 5gr 0-0.8 m;;;;2;2000018383018;2.58;;95
Воблеры;13587;Воблер FLAGMAN H-Cranck 60мм 11г 0-1m F S03;;;;2;2000016270013;2.41;;89
Воблеры;13588;Воблер FLAGMAN H-Cranck 60мм 11г 0-1m F B13;;;;2;2000016271010;2.41;;89
Воблеры;13589;Воблер FLAGMAN H-Cranck 60мм 11г 0-1m F M06;;;;2;2000015026017;2.41;;89
Воблеры;13590;Воблер FLAGMAN H-Cranck 60мм 11г 0-1m F M15;;;;2;2000015023016;2.41;;89
Воблеры;13591;Воблер FLAGMAN H-Cranck 60мм 11г 0-1m F 301;;;;2;2000015024013;2.41;;89
Воблеры;13592;Воблер FLAGMAN H-Cranck 60мм 11г 0-1m F A22;;;;2;2000015027014;2.41;;89
Воблеры;13593;Воблер FLAGMAN BUBLE CRANK 55F S03 8.8g 0-0.5m F;;;;3;2000016328011;2.46;;91
