кат;назва;на¤вн≥сть;код;опт;роздр≥б
Пикерные удилища;            LionZoom Picker rod, 270cm, 3-15g   (Пикерное удилище,карбоновые запасные кончики - 2 шт);8,000;CZ1916;25,59 EUR;1074,78
Пикерные удилища;            LionZoom Picker rod, 300cm, 3-15g   (Пикерное удилище,карбоновые запасные кончики - 2 шт);9,000;CZ1923;27,02 EUR;1134,84
Пикерные удилища;            TigerZoom Picker rod, 270cm, 5-20g  (Пикерное удилище,запасные кончики-2 шт);;CZ1893;14,19 EUR;595,98
Пикерные удилища;            TigerZoom Picker rod, 300cm, 5-20g  (Пикерное удилище,запасные кончики-2 шт);3,000;CZ1909;15,62 EUR;656,04
