;            CZ DuraBoots, 45 (Непромокаемые ботинки);;CZ1888;23,93 EUR;35,895;Carp Zoom;Обувь
;            CZ Fishing Socks;9,000;CZ8274;1,19 EUR;1,785;Carp Zoom;Обувь
;            CZ Shoe insoles, 41 (Стельки);10,000;CZ4665;0,74 EUR;1,11;Carp Zoom;Обувь
;            CZ Shoe insoles, 42 (Стельки);9,000;CZ4672;0,74 EUR;1,11;Carp Zoom;Обувь
;            CZ Shoe insoles, 43 (Стельки);10,000;CZ4689;0,74 EUR;1,11;Carp Zoom;Обувь
;            CZ Shoe insoles, 44 (Стельки);10,000;CZ4696;0,74 EUR;1,11;Carp Zoom;Обувь
;            CZ Shoe insoles, 45 (Стельки);10,000;CZ4702;0,74 EUR;1,11;Carp Zoom;Обувь
;        05. Sunglasses, Caps (солнцезащитные очки, шапки) (Catalogue p. 160);;;;0;Carp Zoom;
;            CZ 1+2 LED Fishing Cap (кепка с LED - фонарем);1,000;CZ1495;4,95 EUR;7,425;Carp Zoom;Кепки, шапки
;            CZ Beanie Hat (шапка);1,000;CZ1826;4,80 EUR;7,2;Carp Zoom;Кепки, шапки
;            CZ Fisherman's Hat (Рыбацкая панама);3,000;CZ3309;5,63 EUR;8,445;Carp Zoom;Кепки, шапки
;            CZ Fishing Cap (кепка);6,000;CZ1488;2,93 EUR;4,395;Carp Zoom;Кепки, шапки
;            CZ Fleece Winter Cap (Флисовая зимняя шапка);36,000;CZ3286;2,24 EUR;3,36;Carp Zoom;Кепки, шапки
;            CZ Fleece Winter Hood;7,000;CZ8083;3,74 EUR;5,61;Carp Zoom;Кепки, шапки
;            CZ Mosquito Hat;2,000;CZ1512;4,28 EUR;6,42;Carp Zoom;Кепки, шапки
;            CZ Summer cap with Neck Protector(Летняя кепка с защитой  шеи);2,000;CZ3279;3,68 EUR;5,52;Carp Zoom;Кепки, шапки
;            CZ Summer Cap, green (Кепка армейского покроя,зеленая);5,000;CZ3255;2,93 EUR;4,395;Carp Zoom;Кепки, шапки
;            CZ Sunglasses, full frame, brown lenses (поляризационные очки,коричневые) ;2,000;CZ1587;8,63 EUR;12,945;Carp Zoom;Поляризационные очки
;            CZ Sunglasses, full frame, grey lenses (поляризационные очки,серые);;CZ1570;8,63 EUR;12,945;Carp Zoom;Поляризационные очки
;            CZ Sunglasses, semi-frame, brown lenses (поляризационные очки,коричневые);3,000;CZ1600;11,24 EUR;16,86;Carp Zoom;Поляризационные очки
;            CZ Sunglasses, semi-frame, grey lenses (поляризационные очки,серые);1,000;CZ1594;11,24 EUR;16,86;Carp Zoom;Поляризационные очки
;            CZ Winter Cap with LED Light (Зимняя кепка-шапка с LED - лампой);4,000;CZ3262;5,18 EUR;7,77;Carp Zoom;Кепки, шапки
;    5. PREDATOR-Z;;;;;Carp Zoom;
;        01. Catfish Mega Pellet & Dip (пеллетс и дип на сома) (Catalogue p. 2);;;;;Carp Zoom;
;            Predator-Z Catfish Dip, 130ml (СОМОВЫЙ ДИП);21,000;CZ8693;2,39 EUR;3,824;Carp Zoom;Дипы
;            Predator-Z Catfish Dip, 130ml, fish essence (СОМОВЫЙ ДИП,РЫБНАЯ ЭССЕНЦИЯ);34,000;CZ6989;2,39 EUR;3,824;Carp Zoom;Дипы
;            Predator-Z Catfish Dip, 130ml, liver extract (СОМОВЫЙ ДИП,ЭКСТРАКТ ПЕЧЕНИ);19,000;CZ6972;2,39 EUR;3,824;Carp Zoom;Дипы
